Product code,Bureau of Meteorology station number,Year,Month,Day,Maximum temperature (Degree C),Days of accumulation of maximum temperature,Quality
IDCJAC0010,86338,2014,4,17,23.5,1,Y
IDCJAC0010,86338,2014,4,18,18.7,1,Y
IDCJAC0010,86338,2014,4,19,17,1,Y
IDCJAC0010,86338,2014,4,20,19.2,1,Y
IDCJAC0010,86338,2014,4,21,19,1,Y
IDCJAC0010,86338,2014,4,22,17.2,1,Y
IDCJAC0010,86338,2014,4,23,18.4,1,Y
IDCJAC0010,86338,2014,4,24,17,1,Y
IDCJAC0010,86338,2014,4,25,20.7,1,Y
IDCJAC0010,86338,2014,4,26,19.2,1,Y
IDCJAC0010,86338,2014,4,27,16.7,1,Y
IDCJAC0010,86338,2014,4,28,22.8,1,Y
IDCJAC0010,86338,2014,4,29,20.2,1,Y
IDCJAC0010,86338,2014,4,30,16.3,1,Y
IDCJAC0010,86338,2014,5,1,15.9,1,Y
IDCJAC0010,86338,2014,5,2,14.4,1,Y
IDCJAC0010,86338,2014,5,3,16,1,Y
IDCJAC0010,86338,2014,5,4,13.2,1,Y
IDCJAC0010,86338,2014,5,5,16.9,1,Y
IDCJAC0010,86338,2014,5,6,15.4,1,Y
IDCJAC0010,86338,2014,5,7,15.3,1,Y
IDCJAC0010,86338,2014,5,8,18.7,1,Y
IDCJAC0010,86338,2014,5,9,19.1,1,Y
IDCJAC0010,86338,2014,5,10,16.3,1,Y
IDCJAC0010,86338,2014,5,11,19.6,1,Y
IDCJAC0010,86338,2014,5,12,18.7,1,Y
IDCJAC0010,86338,2014,5,13,20.8,1,Y
IDCJAC0010,86338,2014,5,14,21.1,1,Y
IDCJAC0010,86338,2014,5,15,22.9,1,Y
IDCJAC0010,86338,2014,5,16,23.4,1,Y
IDCJAC0010,86338,2014,5,17,20.3,1,Y
IDCJAC0010,86338,2014,5,18,22.4,1,Y
IDCJAC0010,86338,2014,5,19,23.5,1,Y
IDCJAC0010,86338,2014,5,20,21.8,1,Y
IDCJAC0010,86338,2014,5,21,23.7,1,Y
IDCJAC0010,86338,2014,5,22,21,1,Y
IDCJAC0010,86338,2014,5,23,19.8,1,Y
IDCJAC0010,86338,2014,5,24,16.3,1,Y
IDCJAC0010,86338,2014,5,25,20.9,1,Y
IDCJAC0010,86338,2014,5,26,22.2,1,Y
IDCJAC0010,86338,2014,5,27,20.5,1,Y
IDCJAC0010,86338,2014,5,28,18.2,1,Y
IDCJAC0010,86338,2014,5,29,15.5,1,Y
IDCJAC0010,86338,2014,5,30,17.5,1,Y
IDCJAC0010,86338,2014,5,31,18.9,1,Y
IDCJAC0010,86338,2014,6,1,15.3,1,Y
IDCJAC0010,86338,2014,6,2,16.4,1,Y
IDCJAC0010,86338,2014,6,3,16.3,1,Y
IDCJAC0010,86338,2014,6,4,18.7,1,Y
IDCJAC0010,86338,2014,6,5,15.1,1,Y
IDCJAC0010,86338,2014,6,6,15.3,1,Y
IDCJAC0010,86338,2014,6,7,16.4,1,Y
IDCJAC0010,86338,2014,6,8,14.8,1,Y
IDCJAC0010,86338,2014,6,9,15.6,1,Y
IDCJAC0010,86338,2014,6,10,18.6,1,Y
IDCJAC0010,86338,2014,6,11,17.1,1,Y
IDCJAC0010,86338,2014,6,12,16.4,1,Y
